results for experiment 3 at timestamp 2018     4    18     0     8    33
samp#		order		kappa		exact		rational		time		chebyshev		time
50		14		8.00		6.95801		6.18566		0.04402		6.83564		0.00052
50		14		11.50		4.96235		4.59519		0.04079		4.29975		0.00036
50		14		15.00		3.61540		3.19574		0.03830		1.03871		0.00034
50		15		1.00		Inf		NaN		0.12423		NaN		0.00058
50		15		4.50		10.72784		10.48790		0.04305		10.95699		0.00040
50		15		8.00		6.95801		6.44529		0.04662		6.54869		0.00033
50		15		11.50		4.96235		5.24285		0.04603		4.15726		0.00053
50		15		15.00		3.61540		3.21496		0.04768		3.82137		0.00055
50		16		1.00		Inf		NaN		0.16712		NaN		0.00056
50		16		4.50		10.72784		10.42343		0.06009		10.58075		0.00059
50		16		8.00		6.95801		6.23735		0.05957		7.75945		0.00054
50		16		11.50		4.96235		4.78905		0.06267		5.57184		0.00055
50		16		15.00		3.61540		4.54086		0.06669		4.64187		0.00060
results for experiment 3 at timestamp 2018     4    18     0    10    11
samp#		order		kappa		exact		rational		time		chebyshev		time
10		12		1.00		Inf		NaN		0.08925		NaN		0.00080
10		12		4.50		53.00697		53.28026		0.04499		52.22536		0.00046
10		12		8.00		42.54465		43.51109		0.04023		43.71451		0.00045
10		12		11.50		37.62012		37.44865		0.03872		35.86298		0.00030
10		12		15.00		34.55056		32.83069		0.04099		31.31118		0.00052
10		13		1.00		Inf		NaN		0.09630		NaN		0.00082
10		13		4.50		53.00697		52.69253		0.04012		51.57012		0.00041
10		13		8.00		42.54465		42.79208		0.04804		41.91357		0.00030
10		13		11.50		37.62012		39.69880		0.04498		35.95917		0.00033
10		13		15.00		34.55056		32.24435		0.04041		32.05837		0.00031
10		14		1.00		Inf		NaN		0.09281		NaN		0.00061
10		14		4.50		53.00697		52.35032		0.05375		50.97418		0.00035
10		14		8.00		42.54465		43.81545		0.05502		43.72197		0.00047
10		14		11.50		37.62012		36.52753		0.04829		37.61046		0.00046
10		14		15.00		34.55056		34.01196		0.05180		34.83780		0.00033
10		15		1.00		Inf		NaN		0.11375		NaN		0.00059
10		15		4.50		53.00697		54.32314		0.06143		50.01928		0.00047
10		15		8.00		42.54465		45.30178		0.06160		42.25916		0.00054
10		15		11.50		37.62012		39.13912		0.07556		36.27048		0.00052
10		15		15.00		34.55056		35.98344		0.07776		38.93920		0.00032
10		16		1.00		Inf		NaN		0.11185		NaN		0.00044
10		16		4.50		53.00697		55.00324		0.06738		52.24630		0.00034
10		16		8.00		42.54465		44.63969		0.05573		43.05837		0.00034
10		16		11.50		37.62012		37.17567		0.04503		38.08590		0.00037
10		16		15.00		34.55056		33.11910		0.05026		33.72198		0.00045
18		12		1.00		Inf		NaN		0.11662		NaN		0.00045
18		12		4.50		53.00697		52.56002		0.04170		52.45227		0.00044
18		12		8.00		42.54465		42.11647		0.04238		42.13547		0.00034
18		12		11.50		37.62012		35.48054		0.03982		38.79515		0.00041
18		12		15.00		34.55056		35.98446		0.04120		36.93316		0.00037
18		13		1.00		Inf		NaN		0.12768		NaN		0.00071
18		13		4.50		53.00697		53.36864		0.04148		54.35928		0.00034
18		13		8.00		42.54465		40.13195		0.04853		39.67801		0.00035
18		13		11.50		37.62012		38.59088		0.05218		36.71461		0.00049
18		13		15.00		34.55056		35.65251		0.04111		34.71144		0.00042
18		14		1.00		Inf		NaN		0.13372		NaN		0.00065
18		14		4.50		53.00697		52.63298		0.04083		53.57659		0.00042
18		14		8.00		42.54465		44.27105		0.04287		42.81296		0.00036
18		14		11.50		37.62012		35.27225		0.04138		35.45591		0.00046
18		14		15.00		34.55056		32.70185		0.04417		36.40244		0.00039
18		15		1.00		Inf		NaN		0.14145		NaN		0.00053
18		15		4.50		53.00697		53.11742		0.04618		52.26249		0.00059
18		15		8.00		42.54465		44.79771		0.05650		40.61166		0.00036
18		15		11.50		37.62012		36.80693		0.05225		38.07845		0.00048
18		15		15.00		34.55056		33.83817		0.07469		34.28539		0.00047
18		16		1.00		Inf		NaN		0.15575		NaN		0.00057
18		16		4.50		53.00697		52.26148		0.04296		54.12458		0.00049
18		16		8.00		42.54465		44.23606		0.04617		44.03551		0.00047
18		16		11.50		37.62012		37.19524		0.04816		37.07900		0.00056
18		16		15.00		34.55056		32.63618		0.04341		36.94418		0.00100
26		12		1.00		Inf		NaN		0.16519		NaN		0.00071
26		12		4.50		53.00697		53.00638		0.05098		53.94906		0.00042
26		12		8.00		42.54465		43.62244		0.05192		44.80371		0.00059
26		12		11.50		37.62012		37.87245		0.05125		36.43377		0.00036
26		12		15.00		34.55056		32.76977		0.05041		34.91656		0.00037
26		13		1.00		Inf		NaN		0.17460		NaN		0.00061
26		13		4.50		53.00697		54.37568		0.04482		52.52130		0.00046
26		13		8.00		42.54465		41.28823		0.03936		41.11757		0.00110
26		13		11.50		37.62012		37.26490		0.04721		37.02396		0.00054
26		13		15.00		34.55056		32.80835		0.05697		34.43469		0.00056
26		14		1.00		Inf		NaN		0.18368		NaN		0.00104
26		14		4.50		53.00697		52.41144		0.05028		53.02282		0.00040
26		14		8.00		42.54465		43.28993		0.05081		44.19890		0.00050
26		14		11.50		37.62012		38.72618		0.05263		37.46211		0.00055
26		14		15.00		34.55056		35.58651		0.05566		35.14885		0.00057
26		15		1.00		Inf		NaN		0.19276		NaN		0.00068
26		15		4.50		53.00697		54.09699		0.04637		53.39449		0.00060
26		15		8.00		42.54465		43.33923		0.05139		41.78663		0.00046
26		15		11.50		37.62012		37.71069		0.05848		36.83303		0.00040
26		15		15.00		34.55056		35.38325		0.05267		33.03721		0.00056
26		16		1.00		Inf		NaN		0.19747		NaN		0.00070
26		16		4.50		53.00697		53.13677		0.04570		53.25504		0.00062
26		16		8.00		42.54465		43.17545		0.04462		42.49375		0.00073
26		16		11.50		37.62012		36.95719		0.06345		39.60844		0.00059
26		16		15.00		34.55056		32.18183		0.04921		35.15783		0.00046
34		12		1.00		Inf		NaN		0.17444		NaN		0.00062
34		12		4.50		53.00697		52.59183		0.04066		52.66650		0.00042
34		12		8.00		42.54465		42.97480		0.04184		41.94245		0.00055
34		12		11.50		37.62012		38.70184		0.04098		36.00400		0.00047
34		12		15.00		34.55056		36.09456		0.04165		35.15608		0.00039
34		13		1.00		Inf		NaN		0.19790		NaN		0.00070
34		13		4.50		53.00697		53.60285		0.04097		53.33912		0.00082
34		13		8.00		42.54465		42.00157		0.04105		42.26652		0.00061
34		13		11.50		37.62012		38.05039		0.04854		37.70457		0.00064
34		13		15.00		34.55056		34.39235		0.05308		35.44054		0.00063
34		14		1.00		Inf		NaN		0.20434		NaN		0.00079
34		14		4.50		53.00697		52.40329		0.04145		54.21280		0.00064
34		14		8.00		42.54465		42.63665		0.03982		40.86461		0.00064
34		14		11.50		37.62012		35.61546		0.04040		37.02468		0.00040
34		14		15.00		34.55056		35.64272		0.04315		35.82419		0.00061
34		15		1.00		Inf		NaN		0.22116		NaN		0.00088
34		15		4.50		53.00697		52.78666		0.04394		53.14791		0.00061
34		15		8.00		42.54465		44.21791		0.04499		42.65816		0.00043
34		15		11.50		37.62012		40.11382		0.04529		36.88314		0.00044
34		15		15.00		34.55056		34.79837		0.04585		33.96788		0.00044
34		16		1.00		Inf		NaN		0.24425		NaN		0.00090
34		16		4.50		53.00697		53.44557		0.04722		53.15206		0.00077
34		16		8.00		42.54465		42.62774		0.04469		43.26124		0.00071
34		16		11.50		37.62012		36.65603		0.04774		37.37156		0.00073
34		16		15.00		34.55056		34.87067		0.04464		33.94882		0.00043
42		12		1.00		Inf		NaN		0.20992		NaN		0.00094
42		12		4.50		53.00697		52.48249		0.04331		53.43443		0.00038
42		12		8.00		42.54465		42.31212		0.04045		42.51843		0.00042
42		12		11.50		37.62012		38.62818		0.03944		38.23315		0.00045
42		12		15.00		34.55056		35.63999		0.04238		33.92659		0.00040
42		13		1.00		Inf		NaN		0.22924		NaN		0.00115
42		13		4.50		53.00697		51.91619		0.04131		53.00853		0.00044
42		13		8.00		42.54465		41.77307		0.03926		42.40806		0.00074
42		13		11.50		37.62012		38.27868		0.04049		38.05221		0.00067
42		13		15.00		34.55056		35.33016		0.03957		33.48936		0.00099
42		14		1.00		Inf		NaN		0.23983		NaN		0.00077
42		14		4.50		53.00697		52.81947		0.05433		52.86621		0.00074
42		14		8.00		42.54465		43.20193		0.04410		41.29366		0.00066
42		14		11.50		37.62012		37.39694		0.04134		36.70537		0.00081
42		14		15.00		34.55056		33.51382		0.04181		36.26294		0.00057
42		15		1.00		Inf		NaN		0.27788		NaN		0.00094
42		15		4.50		53.00697		52.92651		0.04900		53.56874		0.00051
42		15		8.00		42.54465		41.90383		0.04337		42.92648		0.00083
42		15		11.50		37.62012		39.70050		0.05008		36.48701		0.00080
42		15		15.00		34.55056		34.99703		0.04409		32.54342		0.00054
42		16		1.00		Inf		NaN		0.29138		NaN		0.00088
42		16		4.50		53.00697		52.60599		0.04655		52.67548		0.00090
42		16		8.00		42.54465		42.49964		0.04379		43.03818		0.00047
42		16		11.50		37.62012		39.12026		0.04827		37.07674		0.00071
42		16		15.00		34.55056		34.32352		0.04801		36.41136		0.00073
50		12		1.00		Inf		NaN		0.23514		NaN		0.00080
50		12		4.50		53.00697		53.27335		0.04205		52.99468		0.00057
50		12		8.00		42.54465		41.72231		0.04614		42.96788		0.00064
50		12		11.50		37.62012		36.35095		0.04052		37.97287		0.00044
50		12		15.00		34.55056		33.76734		0.04117		34.19920		0.00044
50		13		1.00		Inf		NaN		0.26762		NaN		0.00100
50		13		4.50		53.00697		53.66888		0.03950		52.84492		0.00047
50		13		8.00		42.54465		42.83027		0.04458		42.93090		0.00044
50		13		11.50		37.62012		36.24927		0.04298		37.56653		0.00045
50		13		15.00		34.55056		34.53629		0.04140		33.54337		0.00065
50		14		1.00		Inf		NaN		0.28615		NaN		0.00176
50		14		4.50		53.00697		52.51311		0.07356		52.99917		0.00060
50		14		8.00		42.54465		42.20530		0.07208		42.24044		0.00047
50		14		11.50		37.62012		37.89774		0.05903		37.35332		0.00058
50		14		15.00		34.55056		35.22565		0.03859		35.20838		0.00046
50		15		1.00		Inf		NaN		0.30617		NaN		0.00100
50		15		4.50		53.00697		52.37074		0.04451		53.02151		0.00062
50		15		8.00		42.54465		44.39602		0.04709		44.48570		0.00057
50		15		11.50		37.62012		37.54590		0.05396		37.47796		0.00071
50		15		15.00		34.55056		35.00942		0.04755		33.97831		0.00051
50		16		1.00		Inf		NaN		0.33342		NaN		0.00101
50		16		4.50		53.00697		51.52209		0.04645		52.48672		0.00083
50		16		8.00		42.54465		41.78229		0.04547		43.88369		0.00052
50		16		11.50		37.62012		36.93968		0.04643		36.99641		0.00049
50		16		15.00		34.55056		34.95183		0.04596		33.86807		0.00051

results for experiment 3 at timestamp 2018     4    18     0    15    15
samp#		order		kappa		exact		rational		time		chebyshev		time
10		12		1.00		Inf		NaN		6.51430		NaN		0.26760
10		12		4.50		3832.74811		3835.90954		0.08173		3829.49660		0.00392
10		12		8.00		3426.85214		3432.39595		0.07717		3423.99979		0.00395
10		12		11.50		3262.18522		3261.66820		0.06849		3274.64484		0.00273
10		12		15.00		3171.70930		3164.89885		0.06118		3173.71038		0.00298
10		13		1.00		Inf		NaN		7.31366		NaN		0.28379
10		13		4.50		3832.74811		3840.94567		0.06368		3833.07618		0.00280
10		13		8.00		3426.85214		3426.36192		0.07300		3427.20002		0.00258
10		13		11.50		3262.18522		3253.29539		0.06479		3258.35189		0.00311
10		13		15.00		3171.70930		3166.98397		0.06282		3168.63872		0.00256
10		14		1.00		Inf		NaN		7.46794		NaN		0.30337
10		14		4.50		3832.74811		3831.19313		0.06419		3830.49861		0.00327
10		14		8.00		3426.85214		3447.81942		0.06225		3419.93049		0.00346
10		14		11.50		3262.18522		3270.52104		0.06659		3270.43164		0.00433
10		14		15.00		3171.70930		3172.57283		0.07114		3171.52466		0.00484
10		15		1.00		Inf		NaN		8.07140		NaN		0.33123
10		15		4.50		3832.74811		3828.42605		0.06654		3837.31227		0.00302
10		15		8.00		3426.85214		3432.09030		0.07642		3425.72878		0.00328
10		15		11.50		3262.18522		3263.96108		0.07270		3253.93201		0.00413
10		15		15.00		3171.70930		3179.15460		0.08774		3173.87445		0.00374
10		16		1.00		Inf		NaN		8.82513		NaN		0.34887
10		16		4.50		3832.74811		3836.34631		0.07441		3836.79783		0.00333
10		16		8.00		3426.85214		3417.41959		0.07941		3422.80351		0.00346
10		16		11.50		3262.18522		3262.35518		0.09194		3273.68249		0.00511
10		16		15.00		3171.70930		3179.57385		0.09224		3169.55982		0.00471
18		12		1.00		Inf		NaN		10.55967		NaN		0.44179
18		12		4.50		3832.74811		3831.32668		0.07836		3834.70751		0.00377
18		12		8.00		3426.85214		3432.48337		0.07544		3423.28392		0.00378
18		12		11.50		3262.18522		3270.03101		0.07275		3266.91900		0.00413
18		12		15.00		3171.70930		3174.13929		0.07468		3168.32301		0.00445
18		13		1.00		Inf		NaN		11.82564		NaN		0.48137
18		13		4.50		3832.74811		3828.12884		0.08041		3830.87083		0.00431
18		13		8.00		3426.85214		3429.20566		0.07975		3424.90927		0.00403
18		13		11.50		3262.18522		3256.18684		0.07791		3268.22390		0.00404
18		13		15.00		3171.70930		3172.23811		0.08016		3161.56032		0.00439
18		14		1.00		Inf		NaN		12.13161		NaN		0.51141
18		14		4.50		3832.74811		3831.50394		0.07861		3836.26793		0.00485
18		14		8.00		3426.85214		3425.54503		0.07793		3427.53083		0.00459
18		14		11.50		3262.18522		3258.21830		0.08569		3262.46905		0.00539
18		14		15.00		3171.70930		3177.81859		0.08083		3168.38458		0.00540
18		15		1.00		Inf		NaN		13.21530		NaN		0.54646
18		15		4.50		3832.74811		3844.66532		0.08961		3831.41800		0.00457
18		15		8.00		3426.85214		3428.07402		0.08695		3430.85500		0.00502
18		15		11.50		3262.18522		3268.60870		0.08728		3260.13715		0.00457
18		15		15.00		3171.70930		3168.54417		0.08285		3169.19703		0.00543
18		16		1.00		Inf		NaN		14.61522		NaN		0.57933
18		16		4.50		3832.74811		3834.41675		0.09265		3831.59842		0.00507
18		16		8.00		3426.85214		3422.63974		0.09449		3435.57124		0.00513
18		16		11.50		3262.18522		3270.48229		0.08909		3271.17234		0.00618
18		16		15.00		3171.70930		3163.71155		0.09140		3167.98053		0.00508
26		12		1.00		Inf		NaN		14.53141		NaN		0.62507
26		12		4.50		3832.74811		3840.35304		0.09108		3834.42909		0.00605
26		12		8.00		3426.85214		3429.98702		0.10105		3419.92796		0.00593
26		12		11.50		3262.18522		3264.11900		0.11101		3263.24255		0.00896
26		12		15.00		3171.70930		3173.91100		0.10587		3178.42400		0.00615
26		13		1.00		Inf		NaN		16.08463		NaN		0.67592
26		13		4.50		3832.74811		3835.90821		0.09522		3829.95094		0.00562
26		13		8.00		3426.85214		3423.94177		0.09798		3425.23159		0.00774
26		13		11.50		3262.18522		3259.72920		0.09395		3260.54716		0.00687
26		13		15.00		3171.70930		3166.30514		0.10331		3168.51442		0.00800
26		14		1.00		Inf		NaN		16.86212		NaN		0.71941
26		14		4.50		3832.74811		3833.32184		0.09740		3838.05914		0.00697
26		14		8.00		3426.85214		3428.07977		0.09511		3420.68388		0.00974
26		14		11.50		3262.18522		3266.34611		0.10082		3259.70676		0.00625
26		14		15.00		3171.70930		3174.38459		0.09237		3176.06542		0.00600
26		15		1.00		Inf		NaN		18.67340		NaN		0.77769
26		15		4.50		3832.74811		3834.50631		0.10445		3837.67208		0.00670
26		15		8.00		3426.85214		3423.82489		0.10807		3426.02972		0.00633
